bid/I ch/I l/I w/I  xhv yhv xc yc xro yro
14 5 3 184 330.335312 -454.667551 368.273013 -421.522380 406.210713 -388.377209
14 7 3 185 343.789056 -444.581921 380.718224 -410.316661 417.647392 -376.051401
14 11 3 186 356.935063 -434.098331 392.822641 -398.743653 428.710219 -363.388976
14 15 3 187 369.761564 -423.226164 404.575429 -386.813716 439.389293 -350.401269
14 17 3 188 382.257079 -411.975152 415.966066 -374.537528 449.675054 -337.099905
14 29 3 191 417.647392 -376.051401 447.864794 -335.742840 478.082197 -295.434279
14 33 3 192 428.710219 -363.388976 457.708248 -322.194488 486.706277 -281.000000
14 32 3 193 439.389293 -350.401269 467.141991 -308.357728 494.894689 -266.314188
14 37 3 194 449.675054 -337.099905 476.157579 -294.244947 502.640103 -251.389989
15 5 3 197 478.082197 -295.434279 500.616622 -250.377967 523.151047 -205.321656
15 7 3 198 486.706277 -281.000000 507.882736 -235.289726 529.059194 -189.579453
15 11 3 199 494.894689 -266.314188 514.694226 -219.990870 534.493762 -173.667551
15 10 3 200 502.640103 -251.389989 521.044994 -204.495091 539.449886 -157.600193
15 12 3 201 509.935586 -236.240762 526.929357 -188.816262 543.923129 -141.391761
15 15 3 202 516.774608 -220.880068 532.342047 -172.968416 547.909487 -125.056765
15 29 3 203 523.151047 -205.321656 537.278219 -156.965741 551.405391 -108.609826
15 33 3 204 529.059194 -189.579453 541.733454 -140.822560 554.407714 -92.065666
15 35 3 206 539.449886 -157.600193 549.185595 -108.172595 558.921305 -58.744996
16 5 4 0 569.218881 100.368647 573.609441 50.184323 578.000000 -0.000000
16 7 4 1 566.058879 116.881757 571.907178 66.846362 577.755477 16.810967
16 9 4 2 562.419935 133.295973 569.721025 83.451842 577.022115 33.607711
16 13 4 3 558.305128 149.597408 567.052832 99.986714 575.800535 50.376019
16 15 4 4 553.717938 165.772269 563.904854 116.436986 574.091771 67.101704
16 21 4 5 548.662248 181.806869 560.279758 132.788742 571.897267 83.770615
16 23 4 6 543.142335 197.687643 556.180608 149.028145 569.218881 100.368647
16 27 4 7 537.162869 213.401153 551.610874 165.141455 566.058879 116.881757
16 29 4 8 530.728910 228.934105 546.574422 181.115039 562.419935 133.295973
16 35 4 9 523.845901 244.273355 541.075514 196.935382 558.305128 149.597408
16 37 4 10 516.519666 259.405926 535.118802 212.589097 553.717938 165.772269
16 39 4 11 508.756404 274.319014 528.709326 228.062941 548.662248 181.806869
16 41 4 12 500.562683 289.000000 521.852509 243.343821 543.142335 197.687643
16 43 4 13 491.945437 303.436463 514.554153 258.418808 537.162869 213.401153
17 4 4 14 482.911955 317.616189 506.820432 273.275147 530.728910 228.934105
17 6 4 15 473.469882 331.527180 498.657891 287.900268 523.845901 244.273355
17 8 4 16 463.627205 345.157666 490.073436 302.281796 516.519666 259.405926
17 14 4 17 453.392254 358.496114 481.074329 316.407564 508.756404 274.319014
17 18 4 18 442.773688 371.531238 471.668186 330.265619 500.562683 289.000000
17 22 4 19 431.780491 384.252010 461.862964 343.844237 491.945437 303.436463
17 23 4 20 420.421965 396.647667 451.666960 357.131928 482.911955 317.616189
17 30 4 21 408.707720 408.707720 441.088801 370.117450 473.469882 331.527180
17 32 4 22 396.647667 420.421965 430.137436 382.789815 463.627205 345.157666
17 34 4 23 384.252010 431.780491 418.822132 395.138303 453.392254 358.496114
17 36 4 24 371.531238 442.773688 407.152463 407.152463 442.773688 371.531238
17 38 4 25 358.496114 453.392254 395.138303 418.822132 431.780491 384.252010
17 40 4 26 345.157666 463.627205 382.789815 430.137436 420.421965 396.647667
18 4 4 27 331.527180 473.469882 370.117450 441.088801 408.707720 408.707720
18 6 4 28 317.616189 482.911955 357.131928 451.666960 396.647667 420.421965
18 8 4 29 303.436463 491.945437 343.844237 461.862964 384.252010 431.780491
18 10 4 30 289.000000 500.562683 330.265619 471.668186 371.531238 442.773688
18 12 4 31 274.319014 508.756404 316.407564 481.074329 358.496114 453.392254
18 16 4 32 259.405926 516.519666 302.281796 490.073436 345.157666 463.627205
18 20 4 33 244.273355 523.845901 287.900268 498.657891 331.527180 473.469882
18 24 4 34 228.934105 530.728910 273.275147 506.820432 317.616189 482.911955
18 26 4 35 213.401153 537.162869 258.418808 514.554153 303.436463 491.945437
18 28 4 36 197.687643 543.142335 243.343821 521.852509 289.000000 500.562683
18 30 4 37 181.806869 548.662248 228.062941 528.709326 274.319014 508.756404
18 34 4 38 165.772269 553.717938 212.589097 535.118802 259.405926 516.519666
18 36 4 39 149.597408 558.305128 196.935382 541.075514 244.273355 523.845901
18 38 4 40 133.295973 562.419935 181.115039 546.574422 228.934105 530.728910
19 2 4 41 116.881757 566.058879 165.141455 551.610874 213.401153 537.162869
19 4 4 42 100.368647 569.218881 149.028145 556.180608 197.687643 543.142335
19 6 4 43 83.770615 571.897267 132.788742 560.279758 181.806869 548.662248
19 10 4 44 67.101704 574.091771 116.436986 563.904854 165.772269 553.717938
19 14 4 45 50.376019 575.800535 99.986714 567.052832 149.597408 558.305128
19 18 4 46 33.607711 577.022115 83.451842 569.721025 133.295973 562.419935
19 20 4 47 16.810967 577.755477 66.846362 571.907178 116.881757 566.058879
19 24 4 48 0.000000 578.000000 50.184323 573.609441 100.368647 569.218881
19 26 4 49 -16.810967 577.755477 33.479824 574.826372 83.770615 571.897267
19 28 4 50 -33.607711 577.022115 16.746997 575.556943 67.101704 574.091771
19 30 4 51 -50.376019 575.800535 0.000000 575.800535 50.376019 575.800535
19 34 4 52 -67.101704 574.091771 -16.746997 575.556943 33.607711 577.022115
19 36 4 53 -83.770615 571.897267 -33.479824 574.826372 16.810967 577.755477
20 2 4 54 -100.368647 569.218881 -50.184323 573.609441 0.000000 578.000000
20 4 4 55 -116.881757 566.058879 -66.846362 571.907178 -16.810967 577.755477
20 6 4 56 -133.295973 562.419935 -83.451842 569.721025 -33.607711 577.022115
20 8 4 57 -149.597408 558.305128 -99.986714 567.052832 -50.376019 575.800535
20 12 4 58 -165.772269 553.717938 -116.436986 563.904854 -67.101704 574.091771
20 16 4 59 -181.806869 548.662248 -132.788742 560.279758 -83.770615 571.897267
20 22 4 60 -197.687643 543.142335 -149.028145 556.180608 -100.368647 569.218881
20 24 4 61 -213.401153 537.162869 -165.141455 551.610874 -116.881757 566.058879
20 26 4 62 -228.934105 530.728910 -181.115039 546.574422 -133.295973 562.419935
20 30 4 63 -244.273355 523.845901 -196.935382 541.075514 -149.597408 558.305128
20 36 4 64 -259.405926 516.519666 -212.589097 535.118802 -165.772269 553.717938
20 38 4 65 -274.319014 508.756404 -228.062941 528.709326 -181.806869 548.662248
20 42 4 66 -289.000000 500.562683 -243.343821 521.852509 -197.687643 543.142335
20 44 4 67 -303.436463 491.945437 -258.418808 514.554153 -213.401153 537.162869
21 2 4 68 -317.616189 482.911955 -273.275147 506.820432 -228.934105 530.728910
21 4 4 69 -331.527180 473.469882 -287.900268 498.657891 -244.273355 523.845901
21 6 4 70 -345.157666 463.627205 -302.281796 490.073436 -259.405926 516.519666
21 8 4 71 -358.496114 453.392254 -316.407564 481.074329 -274.319014 508.756404
21 14 4 72 -371.531238 442.773688 -330.265619 471.668186 -289.000000 500.562683
21 20 4 73 -384.252010 431.780491 -343.844237 461.862964 -303.436463 491.945437
21 25 4 74 -396.647667 420.421965 -357.131928 451.666960 -317.616189 482.911955
21 24 4 75 -408.707720 408.707720 -370.117450 441.088801 -331.527180 473.469882
21 28 4 76 -420.421965 396.647667 -382.789815 430.137436 -345.157666 463.627205
21 30 4 77 -431.780491 384.252010 -395.138303 418.822132 -358.496114 453.392254
21 36 4 78 -442.773688 371.531238 -407.152463 407.152463 -371.531238 442.773688
21 40 4 79 -453.392254 358.496114 -418.822132 395.138303 -384.252010 431.780491
21 42 4 80 -463.627205 345.157666 -430.137436 382.789815 -396.647667 420.421965
22 2 4 81 -473.469882 331.527180 -441.088801 370.117450 -408.707720 408.707720
