l1/I l2/I w1/I w2/I z x
7 8 6 2 -451.300208 17.428711
7 8 6 3 -324.831727 9.023555
7 8 6 4 -198.474218 0.625774
7 8 6 5 -72.184522 -7.767501
7 8 6 6 54.080427 -16.159130
7 8 6 7 180.363652 -24.551975
7 8 6 8 306.708210 -32.948895
7 8 6 9 433.157246 -41.352759
7 8 7 0 -831.787308 25.921831
7 8 7 1 -704.728143 17.485027
7 8 7 2 -577.910705 9.064275
7 8 7 3 -451.291206 0.656665
7 8 7 4 -324.826143 -7.740689
7 8 7 5 -198.472205 -16.130665
7 8 7 6 -72.186243 -24.516127
7 8 7 7 54.074801 -32.899935
7 8 7 8 180.353947 -41.284945
7 8 7 9 306.694253 -49.674016
7 8 8 0 -959.134015 17.551076
7 8 8 1 -831.789485 9.109048
7 8 8 2 -704.730969 0.685980
7 8 8 3 -577.914341 -7.721052
7 8 8 4 -451.295832 -16.114950
7 8 8 5 -324.831917 -24.498600
7 8 8 6 -198.479300 -32.874871
7 8 8 7 -72.194829 -41.246625
7 8 8 8 54.064547 -49.616715
7 8 8 9 180.341859 -57.987995
7 8 9 0 -1086.830967 9.157299
7 8 9 1 -959.153917 0.713089
7 8 9 2 -831.807578 -7.709249
7 8 9 3 -704.747427 -16.112660
7 8 9 4 -577.929360 -24.500059
7 8 9 5 -451.309577 -32.874345
7 8 9 6 -324.844570 -41.238394
7 8 9 7 -198.491029 -49.595071
7 8 9 8 -72.205812 -57.947230
7 8 9 9 54.054147 -66.297718
7 8 10 0 -1214.926044 0.737353
7 8 10 1 -1086.868828 -7.705974
7 8 10 2 -959.187503 -16.124517
7 8 10 3 -831.837078 -24.521243
7 8 10 4 -704.773052 -32.899085
7 8 10 5 -577.951283 -41.260954
7 8 10 6 -451.327987 -49.609737
7 8 10 7 -324.859634 -57.948304
7 8 10 8 -198.502928 -66.279509
7 8 10 9 -72.214704 -74.606200
