l c x y
13 465 20.671423 615.649076
13 466 12.404345 615.871110
13 467 4.135030 615.982138
14 0 -4.188558 623.956016
14 1 -12.564919 623.843552
14 2 -20.939015 623.618643
14 3 -29.309337 623.281331
14 4 -37.674376 622.831675
14 5 -46.032624 622.269758
14 6 -54.382575 621.595680
14 7 -62.722725 620.809564
14 8 -71.051568 619.911549
14 9 -79.367605 618.901800
14 10 -87.669337 617.780496
14 456 95.955267 616.547842
14 457 87.669337 617.780496
14 458 79.367605 618.901800
14 459 71.051568 619.911549
14 460 62.722725 620.809564
14 461 54.382575 621.595680
14 462 46.032624 622.269758
14 463 37.674376 622.831675
14 464 29.309337 623.281331
14 465 20.939015 623.618643
14 466 12.564919 623.843552
14 467 4.188558 623.956016
15 458 85.231936 626.272420
15 459 77.026981 627.334418
15 460 68.808828 628.288924
15 461 60.578885 629.135777
15 462 52.338562 629.874831
15 463 44.089272 630.505958
15 464 35.832426 631.029052
15 465 27.569441 631.444022
15 466 19.301733 631.750798
15 467 11.030717 631.949326
15 468 2.757810 632.039573
15 469 -5.515568 632.021523
15 470 -13.788002 631.895180
15 471 -22.058073 631.660564
15 472 -30.324365 631.317717
15 473 -38.585460 630.866697
15 474 -46.839944 630.307581
15 475 -55.086403 629.640465
15 476 -63.323422 628.865464
15 477 -71.549592 627.982709
15 478 -79.763502 626.992353
15 479 -87.963745 625.894565
16 457 94.601117 632.990851
16 458 86.307418 634.174911
16 459 77.998930 635.250309
16 460 69.677078 636.216860
16 461 61.343287 637.074399
16 462 52.998986 637.822778
16 463 44.645603 638.461869
16 464 36.284571 638.991564
16 465 27.917321 639.411770
16 466 19.545288 639.722417
16 467 11.169905 639.923450
16 468 2.792609 640.014836
16 469 -5.585165 639.996558
16 470 -13.961983 639.868621
16 471 -22.336408 639.631045
16 472 -30.707006 639.283872
16 473 -39.072343 638.827160
16 474 -47.430985 638.260989
16 475 -55.781499 637.585455
16 476 -64.122456 636.800675
16 477 -72.452426 635.906781
16 478 -80.769981 634.903929
