l s x y 
 9  1   50.37601930  575.80053550
 9  1   41.99630710  576.47229790
 9  1   33.60771110  577.02211550
 9  1   25.21200590  577.44987210
 9  1   16.81096740  577.75547710
 9  1    8.40637280  577.93886610
 9  1    0.00000000  578.00000000
 9  1   -8.40637280  577.93886610
 9  1  -16.81096740  577.75547710
 9  1  -25.21200590  577.44987210
 9  1  -33.60771110  577.02211550
 9  1  -41.99630710  576.47229790
 9  1  -50.37601930  575.80053550
 9  1  -58.74507520  575.00697050
 9 -1  -60.47872420  574.82721220
 9 -1  -52.11209930  575.64601020
 9 -1  -43.73445090  576.34303830
 9 -1  -35.34755100  576.91814900
 9 -1  -26.95317390  577.37122060
 9 -1  -18.55309510  577.70215740
 9 -1  -10.14909180  577.91088930
 9 -1   -1.74294150  577.99737210
 9 -1    6.66357750  577.96158760
 9 -1   15.06868690  577.80354330
 9 -1   23.47060870  577.52327270
 9 -1   31.86756560  577.12083510
 9 -1   40.25778140  576.59631550
 9 -1   48.63948120  575.94982500
 9 -1   57.01089200  575.18150020
 9 -1   65.37024300  574.29150380
 9 -1   73.71576570  573.28002400
 9 -1   82.04569490  572.14727470
 9 -1   90.35826850  570.89349560
 9 -1   98.65172810  569.51895190
10  1   60.70383600  582.84735930
10  1   52.44997460  583.64801050
10  1   44.18560980  584.33178240
10  1   35.91239660  584.89853800
10  1   27.63199160  585.34816390
10  1   19.34605320  585.68057010
10  1   11.05624060  585.89569000
10  1    2.76421390  585.99348040
10  1   -5.52836630  585.97392190
10  1  -13.81983950  585.83701830
10  1  -22.10854510  585.58279710
10  1  -30.39282340  585.21130910
10  1  -38.67101530  584.72262880
10  1  -46.94146300  584.11685390
10  1  -55.20251050  583.39410590
10  1  -63.45250330  582.55452950
10  1  -71.68978930  581.59829270
10  1  -79.91271900  580.52558720
10  1  -88.11964560  579.33662760
10  1  -96.30892570  578.03165210
10 -1  -99.99282100  577.40578080
10 -1  -91.81202870  578.76294920
10 -1  -83.61285040  580.00421660
10 -1  -75.39692810  581.12933430
10 -1  -67.16590700  582.13807720
10 -1  -58.92143560  583.03024320
10 -1  -50.66516470  583.80565350
10 -1  -42.39874780  584.46415300
10 -1  -34.12384030  585.00560980
10 -1  -25.84209930  585.42991540
10 -1  -17.55518330  585.73698500
10 -1   -9.26475160  585.92675680
10 -1   -0.97246470  585.99919310
10 -1    7.32001700  585.95427920
10 -1   15.61103280  585.79202420
10 -1   23.89892230  585.51246060
10 -1   32.18202600  585.11564430
10 -1   40.45868500  584.60165480
10 -1   48.72724190  583.97059510
10 -1   56.98604090  583.22259140
11  1   61.53255730  590.80431990
11  1   53.16601530  591.61590140
11  1   44.78882640  592.30900810
11  1   36.40266820  592.88350100
11  1   28.00922020  593.33926520
11  1   19.61016310  593.67620930
11  1   11.20717900  593.89426600
11  1    2.80195060  593.99339140
11  1   -5.60383890  593.97356590
11  1  -14.00850620  593.83479330
11  1  -22.41036830  593.57710150
11  1  -30.80774250  593.20054200
11  1  -39.19894720  592.70519020
11  1  -47.58230210  592.09114550
11  1  -55.95612840  591.35853060
11  1  -64.31874910  590.50749230
11  1  -72.66848950  589.53820120
11  1  -81.00367760  588.45085120
11  1  -89.32264420  587.24566000
11  1  -97.62372330  585.92286920
11 -1 -101.28356800  585.30132310
11 -1  -92.99091780  586.67596610
11 -1  -84.67964550  587.93312340
11 -1  -76.35141570  589.07254330
11 -1  -68.00789590  590.09399770
11 -1  -59.65075720  590.99728190
11 -1  -51.28167300  591.78221500
11 -1  -42.90231930  592.44864000
11 -1  -34.51437410  592.99642320
11 -1  -26.11951720  593.42545520
11 -1  -17.71942970  593.73564980
11 -1   -9.31579380  593.92694500
11 -1   -0.91029230  593.99930250
11 -1    7.49539150  593.95270780
11 -1   15.89957420  593.78717020
11 -1   24.30057300  593.50272300
11 -1   32.69670540  593.09942290
11 -1   41.08629010  592.57735090
11 -1   49.46764700  591.93661140
11 -1   57.83909770  591.17733280
12  1  104.53620300  592.85426730
12  1   96.35764940  594.23833890
12  1   88.16080180  595.50959100
12  1   79.94721650  596.66778240
12  1   71.71845260  597.71269310
12  1   63.47607270  598.64412480
12  1   55.22164150  599.46190060
12  1   46.95672610  600.16586530
12  1   38.68289580  600.75588520
12  1   30.40172120  601.23184820
12  1   22.11477480  601.59366410
12  1   13.82362970  601.84126420
12  1    5.52986020  601.97460130
12  1   -2.76495930  601.99365030
12  1  -11.05925370  601.89840750
12  1  -19.35144860  601.68889090
12  1  -27.63996940  601.36514040
12  1  -35.92324260  600.92721740
12  1  -44.19969570  600.37520510
12  1  -52.46775710  599.70920830
12  1  -60.72585730  598.92935330
12 -1  -65.40372000  598.43659100
12 -1  -57.15196530  599.28094650
12 -1  -48.88936000  600.01152530
12 -1  -40.61747270  600.62818860
12 -1  -32.33787400  601.13081930
12 -1  -24.05213580  601.51932200
12 -1  -15.76183120  601.79362300
12 -1   -7.46853400  601.95367010
12 -1    0.82618100  601.99943310
12 -1    9.12073920  601.93090310
12 -1   17.41356580  601.74809320
12 -1   25.70308630  601.45103820
12 -1   33.98772700  601.03979440
12 -1   42.26591490  600.51443980
12 -1   50.53607830  599.87507430
12 -1   58.79664730  599.12181920
12 -1   67.04605330  598.25481760
12 -1   75.28273030  597.27423390
12 -1   83.50511450  596.18025450
12 -1   91.71164470  594.97308700
12 -1   99.90076300  593.65296050
13  1  105.92538840  600.73272930
13  1   97.63814970  602.13519390
13  1   89.33237400  603.42333980
13  1   81.00963790  604.59692240
13  1   72.67152180  605.65571900
13  1   64.31960850  606.59952850
13  1   55.95548390  607.42817170
13  1   47.58073580  608.14149140
13  1   39.19695420  608.73935210
13  1   30.80573080  609.22164020
13  1   22.40865880  609.58826430
13  1   14.00733240  609.83915470
13  1    5.60334670  609.97426380
13  1   -2.80170290  609.99356590
13  1  -11.20622060  609.89705740
13  1  -19.60861070  609.68475660
13  1  -28.00727800  609.35670370
13  1  -36.40062790  608.91296120
13  1  -44.78706700  608.35361310
13  1  -53.16500310  607.67876580
13  1  -61.53284540  606.88854740
13 -1  -66.34730930  606.38109680
13 -1  -57.98600180  607.23769940
13 -1  -49.61368540  607.97901460
13 -1  -41.23194950  608.60490170
13 -1  -32.84238550  609.11524170
13 -1  -24.44658620  609.50993790
13 -1  -16.04614550  609.78891530
13 -1   -7.64265850  609.95212090
13 -1    0.76227960  609.99952370
13 -1    9.16707300  609.93111480
13 -1   17.57012590  609.74690710
13 -1   25.96984300  609.44693560
13 -1   34.36462970  609.03125720
13 -1   42.75289200  608.49995090
13 -1   51.13303740  607.85311750
13 -1   59.50347500  607.09087990
13 -1   67.86261550  606.21338270
13 -1   76.20887190  605.22079260
13 -1   84.54065960  604.11329800
13 -1   92.85639690  602.89110920
13 -1  101.15450480  601.55445820
14  1   66.24867040  614.43886080
14  1   57.99373150  615.27288830
14  1   49.72833950  615.99601640
14  1   41.45398420  616.60811480
14  1   33.17215720  617.10907300
14  1   24.88435100  617.49880090
14  1   16.59205960  617.77722810
14  1    8.29677750  617.94430450
14  1    0.00000000  618.00000000
14  1   -8.29677750  617.94430450
14  1  -16.59205960  617.77722810
14  1  -24.88435100  617.49880090
14  1  -33.17215720  617.10907300
14  1  -41.45398420  616.60811480
14  1  -49.72833950  615.99601640
14  1  -57.99373150  615.27288830
14  1  -66.24867040  614.43886080
14  1  -74.49166840  613.49408420
14  1  -82.72123970  612.43872880
