run_number/I gas_mixture_id/I run_grade/I duration/C hv_ch0/I hv_ch1/I hv_ch2/I recbe_dac_bd0/I recbe_dac_bd1/I recbe_th_bd0/D recbe_th_bd1/D recbe_th_input_bd0/I recbe_th_input_bd1/I
001070 1  1 0:15:12 1800 1800 1800 3678 3653 35.0450 34.9549 35 35
001071 1  1 ?:??:?? 1700 1700 1700 3702 3676 30.0975 29.9922 30 30
001072 1  1 0:15:32 1700 1700 1700 3751 3722 19.9963 20.0667 20 20
001073 1  1 0:15:08 1700 1700 1700 3702 3676 30.0975 29.9922 30 30
001074 1  1 0:14:16 1700 1700 1700 3678 3653 35.0450 34.9549 35 35
001075 1  1 0:14:54 1800 1800 1800 3751 3722 19.9963 20.0667 20 20
001076 1  1 0:15:35 1800 1800 1800 3702 3676 30.0975 29.9922 30 30
001077 1  1 0:15:17 1800 1800 1800 3678 3653 35.0450 34.9549 35 35
001078 1  5 0:01:07 1800 1800 1800 3751 3722 19.9963 20.0667 20 20
001079 1  5 0:00:50 1800 1800 1800 3751 3722 19.9963 20.0667 20 20
