l1/I l2/I w1/I w2/I z x
7 8 0 9 1216.596689 7.599557
7 8 1 0 -52.721923 74.533408
7 8 1 1 73.568624 66.192979
7 8 1 2 199.884843 57.850855
7 8 1 3 326.269870 49.504187
7 8 1 4 452.766936 41.150119
7 8 1 5 579.419416 32.785787
7 8 1 6 706.270841 24.408317
7 8 1 7 833.365071 16.014812
7 8 1 8 960.745842 7.602383
7 8 1 9 1088.458222 -0.831946
7 8 2 0 -178.975444 66.234510
7 8 2 1 -52.676015 57.870834
7 8 2 2 73.605902 49.508318
7 8 2 3 199.913356 41.144111
7 8 2 4 326.289571 32.775350
7 8 2 5 452.777677 24.399180
7 8 2 6 579.421018 16.012731
7 8 2 7 706.263157 7.613116
7 8 2 8 833.347568 -0.802542
7 8 2 9 960.718786 -9.237192
7 8 3 0 -305.293117 57.931394
7 8 3 1 -178.939150 49.547469
7 8 3 2 -52.645905 41.167573
7 8 3 3 73.629640 32.788852
7 8 3 4 199.930771 24.408433
7 8 3 5 326.300431 16.023466
7 8 3 6 452.781841 7.631085
7 8 3 7 579.418331 -0.771586
7 8 3 8 706.253178 -9.187418
7 8 3 9 833.330452 -17.619337
7 8 4 0 -431.720832 49.621045
7 8 4 1 -305.266590 41.219865
7 8 4 2 -178.916369 32.825596
7 8 4 3 -52.627109 24.435377
7 8 4 4 73.644595 16.046324
7 8 4 5 199.941567 7.655592
7 8 4 6 326.306967 -0.739686
7 8 4 7 452.783953 -9.142377
7 8 4 8 579.415669 -17.555347
7 8 4 9 706.245787 -25.981499
7 8 5 0 -558.304584 41.300440
7 8 5 1 -431.704191 32.884999
7 8 5 2 -305.251267 24.479362
7 8 5 3 -178.902655 16.080658
7 8 5 4 -52.614764 7.685991
7 8 5 5 73.655169 -0.707483
7 8 5 6 199.950307 -9.102632
7 8 5 7 326.313699 -17.502319
7 8 5 8 452.788419 -25.909405
7 8 5 9 579.417805 -34.326772
7 8 6 0 -685.090640 32.966536
7 8 6 1 -558.298001 24.539836
7 8 6 2 -431.696494 16.125839
7 8 6 3 -305.242801 7.721665
7 8 6 4 -178.893084 -0.675598
7 8 6 5 -52.604576 -9.068793
7 8 6 6 73.665950 -17.460794
7 8 6 7 199.961498 -25.854457
7 8 6 8 326.325133 -34.252645
7 8 6 9 452.799922 -42.658221
7 8 7 0 -812.125526 24.616277
7 8 7 1 -685.094271 16.181327
7 8 7 2 -558.298089 7.761986
7 8 7 3 -431.693437 -0.644638
7 8 7 4 -305.236167 -9.041475
7 8 7 5 -178.883446 -17.431370
7 8 7 6 -52.591920 -25.817202
7 8 7 7 73.681432 -34.201827
7 8 7 8 199.979730 -42.588108
7 8 7 9 326.345830 -50.978892
7 8 8 0 -939.456172 16.246577
7 8 8 1 -812.139580 7.806400
7 8 8 2 -685.102345 -0.615256
7 8 8 3 -558.300635 -9.021300
7 8 8 4 -431.689926 -17.414681
7 8 8 5 -305.227258 -25.798248
7 8 8 6 -178.869087 -34.174887
7 8 8 7 -52.572311 -42.547457
7 8 8 8 73.706304 -50.918823
7 8 8 9 200.009471 -59.291816
7 8 9 0 -1067.129899 7.854325
7 8 9 1 -939.480834 -0.588035
7 8 9 2 -812.155818 -9.008963
